v1	V(out)
5.800000000000004e-01	-7.054499e-01
5.810000000000004e-01	-7.041221e-01
5.820000000000004e-01	-7.027676e-01
5.830000000000004e-01	-7.013849e-01
5.840000000000004e-01	-6.999728e-01
5.850000000000004e-01	-6.985298e-01
5.860000000000004e-01	-6.970543e-01
5.870000000000004e-01	-6.955445e-01
5.880000000000004e-01	-6.939985e-01
5.890000000000004e-01	-6.924141e-01
5.900000000000004e-01	-6.907890e-01
5.910000000000004e-01	-6.891207e-01
5.920000000000004e-01	-6.874060e-01
5.930000000000004e-01	-6.856418e-01
5.940000000000004e-01	-6.838245e-01
5.950000000000004e-01	-6.819499e-01
5.960000000000004e-01	-6.800132e-01
5.970000000000004e-01	-6.780095e-01
5.980000000000004e-01	-6.759323e-01
5.990000000000004e-01	-6.737750e-01
6.000000000000004e-01	-6.715295e-01
6.010000000000004e-01	-6.691864e-01
6.020000000000004e-01	-6.667351e-01
6.030000000000004e-01	-6.641628e-01
6.040000000000004e-01	-6.614543e-01
6.050000000000004e-01	-6.585916e-01
6.060000000000004e-01	-6.555533e-01
6.070000000000004e-01	-6.523129e-01
6.080000000000004e-01	-6.488383e-01
6.090000000000004e-01	-6.450899e-01
6.100000000000004e-01	-6.410183e-01
6.110000000000004e-01	-6.365615e-01
6.120000000000004e-01	-6.316416e-01
6.130000000000004e-01	-6.261603e-01
6.140000000000004e-01	-6.199950e-01
6.150000000000004e-01	-6.129962e-01
6.160000000000004e-01	-6.049899e-01
6.170000000000004e-01	-5.957932e-01
6.180000000000004e-01	-5.852464e-01
6.190000000000004e-01	-5.732625e-01
6.200000000000004e-01	-5.598651e-01
6.210000000000004e-01	-5.451831e-01
6.220000000000004e-01	-5.293965e-01
6.230000000000004e-01	-5.126728e-01
6.240000000000004e-01	-4.951324e-01
6.250000000000004e-01	-4.768425e-01
6.260000000000004e-01	-4.578276e-01
6.270000000000004e-01	-4.380830e-01
6.280000000000004e-01	-4.175856e-01
6.290000000000004e-01	-3.963020e-01
6.300000000000004e-01	-3.741936e-01
6.310000000000004e-01	-3.512207e-01
6.320000000000005e-01	-3.273441e-01
6.330000000000005e-01	-3.025278e-01
6.340000000000005e-01	-2.767389e-01
6.350000000000005e-01	-2.499474e-01
6.360000000000005e-01	-2.221238e-01
6.370000000000005e-01	-1.932343e-01
6.380000000000005e-01	-1.632316e-01
6.390000000000005e-01	-1.320409e-01
6.400000000000005e-01	-9.953842e-02
6.410000000000005e-01	-6.552071e-02
6.420000000000005e-01	-2.966527e-02
6.430000000000005e-01	8.488452e-03
6.440000000000005e-01	4.893991e-02
6.450000000000005e-01	9.155289e-02
6.460000000000005e-01	1.358607e-01
6.470000000000005e-01	1.800655e-01
6.480000000000005e-01	2.216295e-01
6.490000000000005e-01	2.585006e-01
6.500000000000005e-01	2.892767e-01
6.510000000000005e-01	3.142013e-01
6.520000000000005e-01	3.342121e-01
6.530000000000005e-01	3.505839e-01
6.540000000000005e-01	3.640698e-01
6.550000000000005e-01	3.755071e-01
6.560000000000005e-01	3.854112e-01
6.570000000000005e-01	3.941261e-01
6.580000000000005e-01	4.019020e-01
6.590000000000005e-01	4.089229e-01
6.600000000000005e-01	4.153264e-01
6.610000000000005e-01	4.212176e-01
6.620000000000005e-01	4.266779e-01
6.630000000000005e-01	4.317714e-01
6.640000000000005e-01	4.365495e-01
6.650000000000005e-01	4.410539e-01
6.660000000000005e-01	4.453187e-01
6.670000000000005e-01	4.493722e-01
6.680000000000005e-01	4.532382e-01
6.690000000000005e-01	4.569368e-01
6.700000000000005e-01	4.604850e-01
6.710000000000005e-01	4.638976e-01
6.720000000000005e-01	4.671872e-01
6.730000000000005e-01	4.703649e-01
6.740000000000005e-01	4.734403e-01
6.750000000000005e-01	4.764219e-01
6.760000000000005e-01	4.793174e-01
6.770000000000005e-01	4.821332e-01
6.780000000000005e-01	4.848755e-01
6.790000000000005e-01	4.875496e-01
6.800000000000005e-01	4.901602e-01
6.810000000000005e-01	4.927116e-01
6.820000000000005e-01	4.952079e-01
6.830000000000005e-01	4.976525e-01
6.840000000000005e-01	5.000487e-01
6.850000000000005e-01	5.023995e-01
6.860000000000005e-01	5.047075e-01
6.870000000000005e-01	5.069753e-01
6.880000000000005e-01	5.092051e-01
6.890000000000005e-01	5.113991e-01
6.900000000000005e-01	5.135591e-01
6.910000000000005e-01	5.156870e-01
6.920000000000005e-01	5.177846e-01
6.930000000000005e-01	5.198532e-01
6.940000000000005e-01	5.218943e-01
6.950000000000005e-01	5.239094e-01
6.960000000000005e-01	5.258996e-01
6.970000000000005e-01	5.278661e-01
6.980000000000005e-01	5.298100e-01
6.990000000000005e-01	5.317324e-01
